"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","ecp"
"115",495667,"E02001047","E02001050",166,0,0,0,54,1,0,84,16,2,9,0,2246.26671684552,0.191431325607325,31.777600050816,29.777600050816
"116",495668,"E02001047","E02001051",85,0,0,0,16,0,0,41,9,1,18,0,1261.90307205652,0.233084689143621,19.8121985772078,18.8121985772078
"117",495669,"E02001047","E02001052",57,0,0,2,12,2,2,30,4,1,4,0,3463.16518075454,0.150077141490589,8.55439706496359,7.55439706496359
"118",495670,"E02001047","E02001053",30,0,0,0,7,1,0,17,4,0,1,0,2572.40940722007,0.179343075292784,5.38029225878352,5.38029225878352
"119",495671,"E02001047","E02001055",64,0,0,0,7,1,1,39,9,2,5,0,2984.55934774107,0.165152717280091,10.5697739059258,8.56977390592582
"120",495672,"E02001047","E02001056",9,0,0,0,2,0,0,6,0,0,1,0,4034.76566630512,0.133864666939271,1.20478200245344,1.20478200245344
"121",495673,"E02001047","E02001057",29,0,0,0,5,0,0,20,2,1,1,0,4658.24638186731,0.118171055573816,3.42696061164066,2.42696061164066
"122",495674,"E02001047","E02001059",74,0,0,0,13,0,0,52,6,0,3,0,4982.55972524837,0.11074945961677,8.195460011641,8.195460011641
"123",495675,"E02001047","E02001061",33,0,0,0,6,0,0,23,3,1,0,0,6100.37971372348,0.088562324155842,2.92255669714279,1.92255669714279
"124",495676,"E02001047","E02001062",73,0,0,0,22,0,3,40,4,1,3,0,6489.31162999426,0.0819345000881635,5.98121850643593,4.98121850643593
"125",495677,"E02001047","E02001063",24,0,1,0,8,0,1,11,3,0,0,0,7711.13432030106,0.0641712705037271,1.54011049208945,1.54011049208945
"126",495678,"E02001047","E02001064",41,0,0,0,2,0,0,33,4,0,2,0,6729.46022004918,0.0780922195814098,3.2017810028378,3.2017810028378
"127",495679,"E02001047","E02001065",7,0,0,0,0,0,0,5,1,0,1,0,7107.11946329266,0.0724110261001946,0.506877182701362,0.506877182701362
"128",495680,"E02001047","E02001066",49,0,0,0,17,0,0,26,5,0,1,0,7495.54690569718,0.0669986917792007,3.28293589718083,3.28293589718083
"129",495681,"E02001047","E02001067",5,0,0,0,1,0,0,4,0,0,0,0,7687.00664066514,0.0644816796178586,0.322408398089293,0.322408398089293
"130",495682,"E02001047","E02001068",4,0,0,0,0,0,0,4,0,0,0,0,8673.03744861372,0.0529408358304387,0.211763343321755,0.211763343321755
"131",495683,"E02001047","E02001069",3,0,0,0,1,0,0,1,1,0,0,0,8411.74081523967,0.0557810558924235,0.167343167677271,0.167343167677271
"132",495684,"E02001047","E02001070",24,0,1,1,5,0,0,15,1,1,0,0,8284.95388811237,0.0572136037000708,1.3731264888017,0.373126488801699
"133",495685,"E02001047","E02001071",1,0,0,0,0,0,0,0,1,0,0,0,8242.92561852149,0.0576965483414085,0.0576965483414085,0.0576965483414085
"134",495686,"E02001047","E02001072",5,0,0,0,3,0,0,1,0,0,1,0,9527.42049113956,0.0446251845840405,0.223125922920202,0.223125922920202
"135",495687,"E02001047","E02001073",6,0,0,0,3,0,0,2,0,0,1,0,10671.9717557984,0.0354948680300186,0.212969208180111,0.212969208180111
"136",495688,"E02001047","E02001074",7,0,0,0,1,0,0,5,1,0,0,0,9491.75927234897,0.0449445999985181,0.314612199989627,0.314612199989627
"137",495689,"E02001047","E02001075",1,0,0,0,0,0,0,1,0,0,0,0,9037.90594016739,0.0492151393545146,0.0492151393545146,0.0492151393545146
"138",495690,"E02001047","E02001076",7,0,0,0,1,0,0,5,1,0,0,0,9197.83673209595,0.0476658461704836,0.333660923193385,0.333660923193385
"139",495691,"E02001047","E02001077",3,0,0,0,0,0,0,3,0,0,0,0,10858.2542040522,0.0341967850015039,0.102590355004512,0.102590355004512
"140",495692,"E02001047","E02001078",8,0,0,0,1,0,0,6,0,1,0,0,9717.41803404587,0.042961263800679,0.343690110405432,-0.656309889594568
"141",495693,"E02001047","E02001079",1,0,0,0,0,0,0,1,0,0,0,0,10352.4870086646,0.0378369096857029,0.0378369096857029,0.0378369096857029
"142",495694,"E02001047","E02001080",3,0,0,0,1,0,0,2,0,0,0,0,9969.69632890585,0.0408474015148433,0.12254220454453,0.12254220454453
"143",495695,"E02001047","E02001082",10,0,0,0,2,0,0,6,0,0,2,0,10907.9866599528,0.0338583329764654,0.338583329764654,0.338583329764654
"144",495696,"E02001047","E02001083",6,0,0,0,2,0,0,4,0,0,0,0,11376.8389896805,0.0308277320689851,0.18496639241391,0.18496639241391
"145",495697,"E02001047","E02001084",1,0,0,0,1,0,0,0,0,0,0,0,11050.0114341664,0.0329101192946112,0.0329101192946112,0.0329101192946112
"146",495698,"E02001047","E02001085",6,0,0,0,2,0,0,3,0,0,1,0,10847.3640008743,0.0342713481601618,0.205628088960971,0.205628088960971
"147",495699,"E02001047","E02001086",8,0,0,0,0,0,0,8,0,0,0,0,12178.9647241006,0.0262584943200149,0.210067954560119,0.210067954560119
"148",495700,"E02001047","E02001087",1,0,0,0,0,0,0,1,0,0,0,0,12426.5051457568,0.0249901424598489,0.0249901424598489,0.0249901424598489
"149",495701,"E02001047","E02001088",1,0,0,0,1,0,0,0,0,0,0,0,14113.5328362017,0.0178334500026277,0.0178334500026277,0.0178334500026277
"150",495702,"E02001047","E02001089",6,0,0,0,0,0,0,5,0,0,1,0,13059.6441112921,0.0220178536193087,0.132107121715852,0.132107121715852
"151",495703,"E02001047","E02001090",10,0,0,0,1,0,0,9,0,0,0,0,13676.5777625772,0.0194620598601626,0.194620598601626,0.194620598601626
"152",495704,"E02001047","E02001091",2,0,0,0,1,0,0,1,0,0,0,0,15502.7653975441,0.0135072880475286,0.0270145760950572,0.0270145760950572
"153",495705,"E02001047","E02001092",1,0,0,0,0,0,0,1,0,0,0,0,15184.7151937846,0.0143944027902554,0.0143944027902554,0.0143944027902554
"154",495706,"E02001047","E02001093",7,0,0,0,1,0,0,6,0,0,0,0,15383.2438732183,0.0138340604524177,0.096838423166924,0.096838423166924
"155",495707,"E02001047","E02001094",4,0,0,0,0,0,0,4,0,0,0,0,16393.2076444406,0.0113038225329548,0.0452152901318194,0.0452152901318194
"156",495708,"E02001047","E02001095",12,0,0,0,3,0,0,8,0,0,1,0,16798.2862940323,0.0104241498567846,0.125089798281415,0.125089798281415
"157",495709,"E02001047","E02001096",7,0,0,0,1,0,0,5,0,0,1,0,17546.7639994172,0.00897488099586471,0.062824166971053,0.062824166971053
"158",495710,"E02001047","E02001097",24,0,0,3,0,0,0,21,0,0,0,0,19162.3399008897,0.00649683083708374,0.15592394009001,0.15592394009001
"159",495998,"E02001047","E02006902",270,0,0,8,126,1,2,94,22,8,9,0,5285.9930302647,0.104228319080921,28.1416461518488,20.1416461518488
"160",495999,"E02001047","E02006912",161,0,0,3,70,4,1,62,15,4,1,1,5861.97069472385,0.0928874305413398,14.9548763171557,10.9548763171557
"161",496000,"E02001047","E02006913",71,0,0,1,15,6,2,36,5,2,4,0,4200.55857559851,0.129498689259033,9.19440693739132,7.19440693739132
"162",496001,"E02001047","E02006914",48,0,0,0,29,0,0,18,1,0,0,0,6948.13198669304,0.0747505131640095,3.58802463187246,3.58802463187246
"163",496002,"E02001047","E02006915",28,0,0,1,1,0,0,22,1,2,1,0,4796.71916836797,0.114943262951886,3.21841136265281,1.21841136265281
"164",496003,"E02001047","E02006916",3,0,0,0,2,0,0,1,0,0,0,0,7643.17905899166,0.0650493792893144,0.195148137867943,0.195148137867943
"165",496004,"E02001047","E02006917",83,0,2,3,28,0,0,35,8,1,6,0,6893.51371394785,0.0755715380793177,6.27243766058337,5.27243766058337
"166",496065,"E02001048","E02001045",41,0,0,0,5,3,0,21,1,1,10,0,1716.57530181003,0.212824400371531,8.72580041523277,7.72580041523277
"167",496066,"E02001048","E02001046",43,0,6,0,3,1,0,23,0,0,10,0,2419.40959720295,0.184915794245023,7.95137915253601,7.95137915253601
"168",496067,"E02001048","E02001047",16,0,0,0,5,1,0,9,1,0,0,0,4123.52295245506,0.131509341111737,2.10414945778779,2.10414945778779
"169",496068,"E02001048","E02001048",75,0,5,0,8,1,0,35,2,2,22,0,0,0.3,22.5,20.5
"170",496069,"E02001048","E02001049",1,0,0,0,0,0,0,1,0,0,0,0,5378.71008191271,0.102313380212783,0.102313380212783,0.102313380212783
"171",496070,"E02001048","E02001050",171,0,0,2,17,3,0,69,11,9,58,2,2621.14292955275,0.177603562369842,30.3702091652429,21.3702091652429
"172",496071,"E02001048","E02001051",8,0,0,0,1,0,0,5,2,0,0,0,4172.96070059065,0.130215443256025,1.0417235460482,1.0417235460482
"173",496072,"E02001048","E02001052",201,0,5,1,14,4,0,88,12,6,70,1,2395.59295380265,0.185798710090938,37.3455407282785,31.3455407282785
"174",496073,"E02001048","E02001053",13,0,0,0,0,0,0,12,0,0,1,0,3991.06114551559,0.135039893953864,1.75551862140023,1.75551862140023
"175",496074,"E02001048","E02001055",31,0,1,0,3,0,0,20,3,0,4,0,5559.54876841999,0.0986790555689337,3.05905072263694,3.05905072263694
"176",496075,"E02001048","E02001057",20,0,6,1,0,1,0,11,1,0,0,0,5593.76677858381,0.0980060409325294,1.96012081865059,1.96012081865059
"177",496076,"E02001048","E02001059",32,0,0,0,5,0,0,22,3,0,2,0,6891.49115228217,0.0756021138822326,2.41926764423144,2.41926764423144
"178",496077,"E02001048","E02001061",9,0,0,0,0,0,0,7,0,0,2,0,8587.95304744418,0.0538494325082637,0.484644892574373,0.484644892574373
"179",496078,"E02001048","E02001062",69,0,10,1,8,0,2,40,3,3,2,0,7214.4835418502,0.0708727323366636,4.89021853122979,1.89021853122979
"180",496079,"E02001048","E02001063",15,0,3,0,1,0,0,8,3,0,0,0,7570.21769421828,0.0660055570238141,0.990083355357212,0.990083355357212
"181",496080,"E02001048","E02001064",17,0,0,0,2,1,0,11,3,0,0,0,8348.26198029094,0.0564937537304762,0.960393813418095,0.960393813418095
"182",496081,"E02001048","E02001065",4,0,0,0,4,0,0,0,0,0,0,0,9683.59688654855,0.0432528487104547,0.173011394841819,0.173011394841819
"183",496082,"E02001048","E02001066",35,0,4,1,7,1,0,21,0,1,0,0,8416.52833238122,0.0557276709024059,1.95046848158421,0.950468481584206
