"","Area.of.residence","Area.of.workplace","All","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","clc","plc","ecp","ecp_perc"
"495297","E02001046","E02001047",57,0,0,0,8,0,0,24,0,1,24,0,1.82324861957465,0.0175438596491228,0.0410788704618128,1.34149561632333,0.02353501081269
"495298","E02001046","E02001048",19,0,0,0,0,4,0,11,4,0,0,0,2.02423239226751,0,0.0412311750283323,0.783392325538313,0.0412311750283323
"495299","E02001046","E02001049",13,0,0,0,4,1,0,6,1,0,1,0,3.07214827809103,0,0.0406648860296058,0.528643518384876,0.0406648860296058
"495300","E02001046","E02001050",234,0,0,0,34,12,1,99,24,1,62,1,1.34692990432687,0.00427350427350427,0.0402181627034444,8.411050072606,0.0359446584299402
"495301","E02001046","E02001051",42,0,0,0,5,1,0,23,5,1,7,0,2.00330130503248,0.0238095238095238,0.0412202229342428,0.731249363238196,0.017410699124719
"495302","E02001046","E02001052",79,0,0,1,22,0,0,37,6,2,10,1,2.45497978699235,0.0253164556962025,0.0412373356952333,1.25774951992343,0.0159208799990307
"495303","E02001046","E02001053",34,0,0,0,4,0,0,22,3,0,5,0,2.4085133772551,0,0.041255035978361,1.40267122326427,0.041255035978361
"495304","E02001046","E02001055",46,0,0,0,9,0,2,23,10,1,1,0,3.938752781086,0.0217391304347826,0.0390777404971435,0.7975760628686,0.0173386100623609
"495305","E02001046","E02001056",11,0,0,0,1,0,0,5,1,0,4,0,4.9292034408559,0,0.0365864095734803,0.402450505308284,0.0365864095734803
"495306","E02001046","E02001057",25,0,0,0,9,0,0,15,0,0,1,0,4.80539443867337,0,0.0369242745615366,0.923106864038414,0.0369242745615366
"495307","E02001046","E02001059",64,0,0,0,15,0,0,35,9,1,4,0,5.46089386548116,0.015625,0.0350772926418725,1.24494672907984,0.0194522926418725
"495308","E02001046","E02001061",18,0,0,0,2,0,0,10,3,0,3,0,7.05471165607625,0,0.0302703142408042,0.544865656334476,0.0302703142408042
"495309","E02001046","E02001062",63,0,0,0,21,0,0,37,1,2,2,0,6.70771831796788,0.0317460317460317,0.0313299336326396,-0.0262141811437022,-0.000416098113392098
"495310","E02001046","E02001063",12,0,0,0,3,1,0,6,1,1,0,0,7.25279983046686,0.0833333333333333,0.0296666095642693,-0.644000685228769,-0.0536667237690641
"495311","E02001046","E02001064",31,0,0,0,4,0,1,26,0,0,0,0,7.32233377536149,0,0.0294551133616568,0.913108514211361,0.0294551133616568
"495312","E02001046","E02001065",2,0,0,0,0,0,0,2,0,0,0,0,7.82560669587741,0,0.0279344757565991,0.0558689515131981,0.0279344757565991
"495313","E02001046","E02001066",45,0,1,0,11,0,0,29,3,0,1,0,7.73610250827246,0,0.0282033407932803,1.26915033569761,0.0282033407932803
"495314","E02001046","E02001067",5,0,0,0,3,0,0,2,0,0,0,0,8.23144720558449,0,0.026726345837601,0.133631729188005,0.026726345837601
"495315","E02001046","E02001068",3,0,0,0,0,0,0,3,0,0,0,0,8.2927566632576,0,0.0265455924185595,0.0796367772556786,0.0265455924185595
"495316","E02001046","E02001069",5,0,0,0,5,0,0,0,0,0,0,0,8.31636792271924,0,0.026476115247373,0.132380576236865,0.026476115247373
"495317","E02001046","E02001070",12,0,0,0,4,0,0,6,0,1,1,0,8.32686164871742,0.0833333333333333,0.0264452612486967,-0.682656865015639,-0.0568880720846366
"495318","E02001046","E02001071",2,0,0,0,0,0,0,2,0,0,0,0,8.63396004213555,0,0.025549259160124,0.051098518320248,0.025549259160124
"495319","E02001046","E02001072",5,0,0,0,0,0,0,5,0,0,0,0,9.13289312705417,0,0.02412507917666,0.1206253958833,0.02412507917666
"495320","E02001046","E02001073",6,0,0,0,1,0,0,5,0,0,0,0,10.100172170246,0,0.0214927567711265,0.128956540626759,0.0214927567711265
"495321","E02001046","E02001074",4,0,0,0,3,0,0,1,0,0,0,0,9.30792079562457,0,0.023635617015224,0.094542468060896,0.023635617015224
"495322","E02001046","E02001075",3,0,0,0,0,0,0,3,0,0,0,0,9.46536927508126,0,0.0232001036472118,0.0696003109416353,0.0232001036472118
"495323","E02001046","E02001076",3,0,0,0,1,0,0,1,0,0,0,1,9.40689556449788,0,0.023361307259352,0.0700839217780561,0.023361307259352
"495324","E02001046","E02001077",1,0,0,0,0,0,0,1,0,0,0,0,10.480740064944,0,0.020508398698781,0.020508398698781,0.020508398698781
"495325","E02001046","E02001078",2,0,0,0,1,0,0,1,0,0,0,0,10.050038843953,0,0.0216246657362882,0.0432493314725765,0.0216246657362882
"495326","E02001046","E02001079",2,0,0,0,1,0,0,1,0,0,0,0,10.1231217233769,0,0.021432544578345,0.04286508915669,0.021432544578345
"495327","E02001046","E02001080",2,0,0,0,1,0,0,1,0,0,0,0,10.0744654829782,0,0.0215603310368081,0.0431206620736162,0.0215603310368081
"495328","E02001046","E02001082",6,0,0,0,3,0,0,3,0,0,0,0,10.8948720348176,0,0.0194720622608181,0.116832373564909,0.0194720622608181
"495329","E02001046","E02001083",3,0,0,0,1,0,0,2,0,0,0,0,11.3329959932126,0,0.0184161102137077,0.0552483306411232,0.0184161102137077
"495330","E02001046","E02001084",1,0,0,0,0,0,0,1,0,0,0,0,11.0557715812809,0,0.0190794015137891,0.0190794015137891,0.0190794015137891
"495331","E02001046","E02001085",5,0,1,0,1,0,0,2,1,0,0,0,11.1875757133306,0,0.0187619478934329,0.0938097394671647,0.0187619478934329
"495332","E02001046","E02001086",2,0,0,0,0,0,0,1,0,0,1,0,12.007813867766,0,0.016872148160303,0.0337442963206059,0.016872148160303
"495333","E02001046","E02001087",2,0,0,0,0,0,0,2,0,0,0,0,12.251159114778,0,0.0163399956203997,0.0326799912407995,0.0163399956203997
"495334","E02001046","E02001088",2,0,0,0,0,0,0,2,0,0,0,0,13.8023304300638,0,0.013249937312146,0.026499874624292,0.013249937312146
"495335","E02001046","E02001089",7,0,0,0,1,0,0,2,0,0,4,0,13.1442774912256,0,0.0144978174420316,0.101484722094221,0.0144978174420316
"495336","E02001046","E02001090",5,0,0,0,2,0,0,2,0,0,1,0,13.8190643181686,0,0.0132193881063376,0.0660969405316882,0.0132193881063376
"495337","E02001046","E02001091",4,0,0,0,0,0,0,4,0,0,0,0,15.0523104388993,0,0.0111237727076952,0.0444950908307806,0.0111237727076952
"495338","E02001046","E02001092",3,0,0,0,1,0,0,2,0,0,0,0,15.2256523223692,0,0.010853091110777,0.032559273332331,0.010853091110777
"495339","E02001046","E02001093",7,0,0,0,1,0,0,2,2,0,1,1,15.4383595037344,0,0.0105286657103433,0.0737006599724028,0.0105286657103433
"495340","E02001046","E02001094",3,0,0,0,2,0,0,1,0,0,0,0,16.1593945851624,0,0.00949041726152297,0.0284712517845689,0.00949041726152297
"495341","E02001046","E02001095",10,0,0,0,2,0,0,6,1,0,1,0,16.7112092195086,0,0.00875731021558617,0.0875731021558617,0.00875731021558617
"495342","E02001046","E02001096",1,0,0,0,0,0,0,1,0,0,0,0,16.8107182167367,0,0.00863054973124169,0.00863054973124169,0.00863054973124169
"495343","E02001046","E02001097",23,0,0,1,2,0,1,15,3,1,0,0,17.4981075083976,0.0434782608695652,0.00779842111451503,-0.820636314366154,-0.0356798397550502
"495604","E02001046","E02006902",266,0,4,0,141,0,0,92,18,5,6,0,4.69119744496744,0.018796992481203,0.0372303758732512,4.90327998228482,0.0184333833920482
"495606","E02001046","E02006912",167,0,0,2,66,2,2,65,14,2,14,0,5.74063050216837,0.0119760479041916,0.0342544066901808,3.72048591726019,0.0222783587859891
"495607","E02001046","E02006913",97,0,1,0,31,3,0,40,4,9,9,0,3.30910782110899,0.0927835051546392,0.0403064365048442,-5.09027565903012,-0.052477068649795
"495608","E02001046","E02006914",39,0,3,0,18,0,0,11,7,0,0,0,6.5614927165142,0,0.0317762574938747,1.23927404226111,0.0317762574938747
"495609","E02001046","E02006915",35,0,0,0,5,0,0,17,3,3,7,0,3.62644555299659,0.0857142857142857,0.0397318397597985,-1.60938560840705,-0.0459824459544872
"495610","E02001046","E02006916",6,0,0,0,4,0,0,2,0,0,0,0,7.06627747619528,0,0.0302350268230582,0.181410160938349,0.0302350268230582
"495611","E02001046","E02006917",88,0,1,3,47,0,0,18,8,4,7,0,6.35013223424904,0.0454545454545455,0.0324199819727011,-1.14704158640231,-0.0130345634818444
"495662","E02001047","E02001045",49,0,0,0,3,3,1,28,3,2,8,1,2.97965324628836,0.0408163265306122,0.0407861504765796,-0.00147862664760035,-3.01760540326601e-05
"495663","E02001047","E02001046",61,0,0,0,7,2,0,30,7,1,14,0,1.82324861957465,0.0163934426229508,0.0410788704618128,1.50581109817058,0.0246854278388619
"495664","E02001047","E02001047",175,0,0,2,22,1,1,52,7,3,84,3,0,0.0171428571428571,0.024601022515226,1.30517894016455,0.00745816537236888
"495665","E02001047","E02001048",7,0,0,0,1,0,0,4,1,0,1,0,3.74109222582415,0,0.0395010417129697,0.276507291990788,0.0395010417129697
"495666","E02001047","E02001049",55,0,0,0,12,2,0,12,6,0,23,0,1.34872970206968,0,0.0402230032314445,2.21226517772945,0.0402230032314445
"495667","E02001047","E02001050",166,0,0,0,54,1,0,84,16,2,9,0,2.16678989351273,0.0120481927710843,0.0412777874037875,4.85211270902872,0.0292295946327031
"495668","E02001047","E02001051",85,0,0,0,16,0,0,41,9,1,18,0,1.43172340329895,0.0117647058823529,0.040431595871335,2.43668564906348,0.0286668899889821
"495669","E02001047","E02001052",57,0,0,2,12,2,2,30,4,1,4,0,3.74189509295088,0.0175438596491228,0.0394993857572268,1.25146498816193,0.021955526108104
"495670","E02001047","E02001053",30,0,0,0,7,1,0,17,4,0,1,0,2.58836922153118,0,0.0411647425147879,1.23494227544364,0.0411647425147879
"495671","E02001047","E02001055",64,0,0,0,7,1,1,39,9,2,5,0,2.89469332711603,0.03125,0.0408875023521641,0.616800150538502,0.0096375023521641
"495672","E02001047","E02001056",9,0,0,0,2,0,0,6,0,0,1,0,4.03693658565812,0,0.0388565139788629,0.349708625809766,0.0388565139788629
"495673","E02001047","E02001057",29,0,0,0,5,0,0,20,2,1,1,0,4.91602195339384,0.0344827586206897,0.0366226610889961,0.0620571715808858,0.00213990246830641
"495674","E02001047","E02001059",74,0,0,0,13,0,0,52,6,0,3,0,4.94497639806713,0,0.0365429463937029,2.70417803313401,0.0365429463937029
"495675","E02001047","E02001061",33,0,0,0,6,0,0,23,3,1,0,0,6.16751523597028,0.0303030303030303,0.0329738619758971,0.0881374452046052,0.00267083167286682
"495676","E02001047","E02001062",73,0,0,0,22,0,3,40,4,1,3,0,6.80111409856835,0.0136986301369863,0.031044676782455,1.26626140511922,0.0173460466454687
"495677","E02001047","E02001063",24,0,1,0,8,0,1,11,3,0,0,0,7.66253987567864,0,0.028424886121098,0.682197266906351,0.028424886121098
"495678","E02001047","E02001064",41,0,0,0,2,0,0,33,4,0,2,0,6.90101317774609,0,0.0307395391131666,1.26032110363983,0.0307395391131666
"495679","E02001047","E02001065",7,0,0,0,0,0,0,5,1,0,1,0,6.90629991376316,0,0.0307233927767246,0.215063749437072,0.0307233927767246
"495680","E02001047","E02001066",49,0,0,0,17,0,0,26,5,0,1,0,7.59665922540961,0,0.0286237014921966,1.40256137311764,0.0286237014921966
"495681","E02001047","E02001067",5,0,0,0,1,0,0,4,0,0,0,0,7.55828580352557,0,0.0287396716237633,0.143698358118817,0.0287396716237633
"495682","E02001047","E02001068",4,0,0,0,0,0,0,4,0,0,0,0,8.62070258574929,0,0.0255876512348358,0.102350604939343,0.0255876512348358
"495683","E02001047","E02001069",3,0,0,0,1,0,0,1,1,0,0,0,8.45237227619589,0,0.026077415124868,0.0782322453746041,0.026077415124868
"495684","E02001047","E02001070",24,0,1,1,5,0,0,15,1,1,0,0,8.23053021697111,0.0416666666666667,0.0267290530748675,-0.358502726203179,-0.0149376135917991
"495685","E02001047","E02001071",1,0,0,0,0,0,0,0,1,0,0,0,8.18412794900232,0,0.0268661891497027,0.0268661891497027,0.0268661891497027
"495686","E02001047","E02001072",5,0,0,0,3,0,0,1,0,0,1,0,9.62439329981171,0,0.0227649759595377,0.113824879797689,0.0227649759595377
"495687","E02001047","E02001073",6,0,0,0,3,0,0,2,0,0,1,0,10.7229741275805,0,0.0198977579935028,0.119386547961017,0.0198977579935028
"495688","E02001047","E02001074",7,0,0,0,1,0,0,5,1,0,0,0,9.54682878222929,0,0.022976607448793,0.160836252141551,0.022976607448793
"495689","E02001047","E02001075",1,0,0,0,0,0,0,1,0,0,0,0,8.99377352314811,0,0.0245179947353399,0.0245179947353399,0.0245179947353399
"495690","E02001047","E02001076",7,0,0,0,1,0,0,5,1,0,0,0,9.30840684510025,0,0.0236342655100893,0.165439858570625,0.0236342655100893
"495691","E02001047","E02001077",3,0,0,0,0,0,0,3,0,0,0,0,10.9681551890872,0,0.019292523754475,0.057877571263425,0.019292523754475
"495692","E02001047","E02001078",8,0,0,0,1,0,0,6,0,1,0,0,9.69929798102439,0.125,0.022561705890463,-0.819506352876296,-0.102438294109537
"495693","E02001047","E02001079",1,0,0,0,0,0,0,1,0,0,0,0,10.2428929086481,0,0.0211200659834655,0.0211200659834655,0.0211200659834655
"495694","E02001047","E02001080",3,0,0,0,1,0,0,2,0,0,0,0,9.93371595575641,0,0.0219327009340698,0.0657981028022095,0.0219327009340698
"495695","E02001047","E02001082",10,0,0,0,2,0,0,6,0,0,2,0,10.9583653178095,0,0.0193164407897821,0.193164407897821,0.0193164407897821
"495696","E02001047","E02001083",6,0,0,0,2,0,0,4,0,0,0,0,11.4927566139374,0,0.0180415205346599,0.108249123207959,0.0180415205346599
"495697","E02001047","E02001084",1,0,0,0,1,0,0,0,0,0,0,0,10.9755224147269,0,0.0192745390672151,0.0192745390672151,0.0192745390672151
"495698","E02001047","E02001085",6,0,0,0,2,0,0,3,0,0,1,0,10.9372761936464,0,0.0193680330439595,0.116208198263757,0.0193680330439595
"495699","E02001047","E02001086",8,0,0,0,0,0,0,8,0,0,0,0,12.2859921509557,0,0.0162648872966338,0.130119098373071,0.0162648872966338
"495700","E02001047","E02001087",1,0,0,0,0,0,0,1,0,0,0,0,12.2387172613275,0,0.0163668878142441,0.0163668878142441,0.0163668878142441
"495701","E02001047","E02001088",1,0,0,0,1,0,0,0,0,0,0,0,14.224470070963,0,0.0124968777414843,0.0124968777414843,0.0124968777414843
"495702","E02001047","E02001089",6,0,0,0,0,0,0,5,0,0,1,0,13.0301632494477,0,0.0147235678264964,0.0883414069589782,0.0147235678264964
"495703","E02001047","E02001090",10,0,0,0,1,0,0,9,0,0,0,0,14.0031817454872,0,0.0128870833827203,0.128870833827203,0.0128870833827203
