"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest"
"910629","E02002330","E02002414",6,0,0,0,2,0,0,4,0,0,0,0,18958.097990033,0.00676771070359472,0.0406062642215683,0.0406062642215683,-1.40057715899652,53.9291452967314,-1.54516287677219,53.7817460770154
"910630","E02002330","E02002415",2,0,0,0,0,0,0,2,0,0,0,0,19820.5488775545,0.00569547898243328,0.0113909579648666,0.0113909579648666,-1.40057715899652,53.9291452967314,-1.54951168614123,53.7742881836732
"910631","E02002330","E02002416",15,0,0,0,0,0,0,13,1,0,1,0,17893.0423203973,0.00837435458761983,0.125615318814297,0.125615318814297,-1.40057715899652,53.9291452967314,-1.41196316956805,53.7684705357987
"910632","E02002330","E02002417",4,0,0,0,0,0,0,4,0,0,0,0,18824.1409359003,0.00695147792101916,0.0278059116840767,0.0278059116840767,-1.40057715899652,53.9291452967314,-1.33680013114984,53.7642201515347
"910633","E02002330","E02002418",2,0,0,0,0,0,0,1,0,0,1,0,17948.1263195383,0.00828260233552993,0.0165652046710599,0.0165652046710599,-1.40057715899652,53.9291452967314,-1.37777950077983,53.7683968143813
"910634","E02002330","E02002419",15,0,0,0,3,0,0,10,1,0,1,0,20947.7664069868,0.00454591575352898,0.0681887363029347,0.0681887363029347,-1.40057715899652,53.9291452967314,-1.57597003332912,53.7720065627108
"910635","E02002330","E02002420",8,0,0,0,0,0,0,8,0,0,0,0,20758.171598297,0.00472160202929812,0.0377728162343849,0.0377728162343849,-1.40057715899652,53.9291452967314,-1.55444065371174,53.766262459313
"910636","E02002330","E02002421",2,0,0,0,0,0,0,2,0,0,0,0,20054.0122736137,0.00543565495348306,0.0108713099069661,0.0108713099069661,-1.40057715899652,53.9291452967314,-1.53113186963838,53.7662730270275
"910637","E02002330","E02002422",15,0,0,0,2,0,0,13,0,0,0,0,22597.99024187,0.00326802042272538,0.0490203063408808,0.0490203063408808,-1.40057715899652,53.9291452967314,-1.58700124108342,53.7585630809208
"910638","E02002330","E02002424",5,0,0,0,0,0,0,4,1,0,0,0,23776.2876917161,0.00258189838451979,0.012909491922599,0.012909491922599,-1.40057715899652,53.9291452967314,-1.61603786706791,53.7575906875986
"910639","E02002330","E02002425",2,0,0,0,0,0,0,1,0,0,1,0,25398.2368704595,0.00186663081112812,0.00373326162225625,0.00373326162225625,-1.40057715899652,53.9291452967314,-1.6522103299487,53.7560427314978
"910640","E02002330","E02002426",5,0,0,0,0,1,0,2,1,0,1,0,20007.3849330901,0.00548658207091493,0.0274329103545747,0.0274329103545747,-1.40057715899652,53.9291452967314,-1.44974128229353,53.7516900235372
"910641","E02002330","E02002427",1,0,0,0,1,0,0,0,0,0,0,0,20448.1189136877,0.00502365969959551,0.00502365969959551,0.00502365969959551,-1.40057715899652,53.9291452967314,-1.47878989389313,53.7512783244118
"910642","E02002330","E02002428",4,0,0,0,0,0,0,3,0,0,1,0,21565.7107960331,0.00401742164673859,0.0160696865869544,0.0160696865869544,-1.40057715899652,53.9291452967314,-1.53671522435179,53.7528293516229
"910643","E02002330","E02002430",3,0,0,0,0,0,0,1,0,0,2,0,22577.8129046593,0.00328123505842422,0.00984370517527265,0.00984370517527265,-1.40057715899652,53.9291452967314,-1.55521602676135,53.7479997938134
"910644","E02002330","E02002431",4,0,0,0,0,0,0,4,0,0,0,0,23835.4982919522,0.00255150355869147,0.0102060142347659,0.0102060142347659,-1.40057715899652,53.9291452967314,-1.58235183703781,53.74384910947
"910645","E02002330","E02002433",5,0,0,0,0,0,0,5,0,0,0,0,24638.6307925916,0.00217288617008011,0.0108644308504006,0.0108644308504006,-1.40057715899652,53.9291452967314,-1.59931370729969,53.7414729236606
"910646","E02002330","E02002435",7,0,0,0,1,0,0,5,0,0,1,0,25919.0431061221,0.00168198367102315,0.0117738856971621,0.0117738856971621,-1.40057715899652,53.9291452967314,-1.60996864043677,53.7318492429836
"910647","E02002330","E02002436",1,0,0,0,0,0,0,1,0,0,0,0,24422.9055271954,0.00226868727035192,0.00226868727035192,0.00226868727035192,-1.40057715899652,53.9291452967314,-1.54872641100893,53.7278916121542
"910811","E02002330","E02006852",8,0,0,0,0,0,0,7,1,0,0,0,16265.8140194755,0.0115955299042299,0.0927642392338389,0.0927642392338389,-1.40057715899652,53.9291452967314,-1.58670433230111,53.8328190169763
"910812","E02002330","E02006861",5,0,0,0,0,0,0,5,0,0,0,0,16427.6330795795,0.0112262620428232,0.0561313102141162,0.0561313102141162,-1.40057715899652,53.9291452967314,-1.56502150275465,53.8179856472231
"910814","E02002330","E02006875",225,0,0,5,32,0,1,166,11,2,7,1,17597.184548594,0.00888483210468044,1.9990872235531,-0.00091277644690102,-1.40057715899652,53.9291452967314,-1.54558251724398,53.7962246678574
"910815","E02002330","E02006876",26,0,0,0,0,0,0,26,0,0,0,0,18822.228659969,0.0069541370582703,0.180807563515028,0.180807563515028,-1.40057715899652,53.9291452967314,-1.51820924617903,53.7749327016576
"910909","E02002331","E02002330",36,0,0,0,1,0,0,14,2,0,19,0,3549.22087816988,0.147516244072655,5.31058478661559,5.31058478661559,-1.34765338801317,53.9226868902534,-1.40057715899652,53.9291452967314
"910910","E02002331","E02002331",849,0,0,0,34,1,6,363,53,36,355,1,0,0.3,254.7,218.7,-1.34765338801317,53.9226868902534,-1.34765338801317,53.9226868902534
"910911","E02002331","E02002333",3,0,0,0,1,0,0,2,0,0,0,0,22470.4248053554,0.0033524704224023,0.0100574112672069,0.0100574112672069,-1.34765338801317,53.9226868902534,-1.6876952052199,53.9007791557042
"910912","E02002331","E02002334",92,0,0,0,8,0,0,61,3,1,19,0,4512.55450516954,0.121665025237202,11.1931823218226,10.1931823218226,-1.34765338801317,53.9226868902534,-1.35765242854091,53.882563862936
"910913","E02002331","E02002335",19,0,0,0,0,0,0,15,2,1,1,0,8813.55414553048,0.0514737333515356,0.978000933679176,-0.0219990663208238,-1.34765338801317,53.9226868902534,-1.4710718403468,53.8916514301921
"910914","E02002331","E02002336",9,0,0,0,0,0,0,9,0,0,0,0,18636.5246219512,0.00721727566706564,0.0649554810035908,0.0649554810035908,-1.34765338801317,53.9226868902534,-1.62436521084849,53.885895467259
"910915","E02002331","E02002339",1,0,0,0,0,0,0,1,0,0,0,0,23569.1451941588,0.00269110916015235,0.00269110916015235,0.00269110916015235,-1.34765338801317,53.9226868902534,-1.69418216051999,53.8680881823462
"910916","E02002331","E02002340",2,0,0,0,0,0,0,2,0,0,0,0,22561.2100046275,0.0032921487718566,0.0065842975437132,0.0065842975437132,-1.34765338801317,53.9226868902534,-1.67853467578578,53.8686194272494
"910917","E02002331","E02002343",1,0,0,0,0,0,0,1,0,0,0,0,22912.6145762733,0.0030687170014203,0.0030687170014203,0.0030687170014203,-1.34765338801317,53.9226868902534,-1.6775621599311,53.856149448222
"910918","E02002331","E02002344",1,0,0,0,0,0,0,1,0,0,0,0,13947.8812700223,0.0184341739270901,0.0184341739270901,0.0184341739270901,-1.34765338801317,53.9226868902534,-1.52530584193474,53.854124311166
"910919","E02002331","E02002345",6,0,0,0,0,0,0,2,1,0,3,0,17478.4687461316,0.00909831039522903,0.0545898623713742,0.0545898623713742,-1.34765338801317,53.9226868902534,-1.58965732191195,53.8575607215892
"910920","E02002331","E02002346",1,0,0,0,0,0,0,1,0,0,0,0,19559.3319254911,0.00600093979557319,0.00600093979557319,0.00600093979557319,-1.34765338801317,53.9226868902534,-1.61864375173256,53.8500711391054
"910921","E02002331","E02002347",4,0,0,0,0,0,0,3,0,1,0,0,15720.6764407533,0.0129312541896459,0.0517250167585837,-0.948274983241416,-1.34765338801317,53.9226868902534,-1.55197061346592,53.8492478781359
"910922","E02002331","E02002348",1,0,0,0,0,0,0,1,0,0,0,0,18933.2660569163,0.00680140537262389,0.00680140537262389,0.00680140537262389,-1.34765338801317,53.9226868902534,-1.60485137503536,53.8460916699259
"910923","E02002331","E02002349",1,0,0,0,0,0,0,1,0,0,0,0,13237.6961507074,0.021247585056549,0.021247585056549,0.021247585056549,-1.34765338801317,53.9226868902534,-1.49772700940708,53.8433559571037
"910924","E02002331","E02002350",2,0,0,0,0,0,0,2,0,0,0,0,21315.4899155638,0.00422358583657487,0.00844717167314973,0.00844717167314973,-1.34765338801317,53.9226868902534,-1.64568183696925,53.8471890098251
"910925","E02002331","E02002351",18,0,0,0,1,0,0,14,3,0,0,0,10604.681054053,0.0359757918570363,0.647564253426653,0.647564253426653,-1.34765338801317,53.9226868902534,-1.44096637163261,53.8449366971065
"910926","E02002331","E02002352",4,0,0,0,1,0,0,3,0,0,0,0,15074.4457782492,0.0147153816726272,0.0588615266905087,0.0588615266905087,-1.34765338801317,53.9226868902534,-1.53161827349486,53.8418058636439
"910927","E02002331","E02002354",1,0,0,0,0,0,0,1,0,0,0,0,16131.3392520574,0.0119116227393905,0.0119116227393905,0.0119116227393905,-1.34765338801317,53.9226868902534,-1.54853279847116,53.8394232219304
"910928","E02002331","E02002356",8,0,0,0,1,0,0,6,0,0,1,0,23108.3159854133,0.00295092676184799,0.0236074140947839,0.0236074140947839,-1.34765338801317,53.9226868902534,-1.66983657169979,53.8396256342399
"910929","E02002331","E02002357",3,0,0,0,0,0,0,1,0,1,1,0,20868.4652481078,0.00461858982138808,0.0138557694641642,-0.986144230535836,-1.34765338801317,53.9226868902534,-1.62913470253426,53.8359902289599
"910930","E02002331","E02002358",18,0,0,0,1,0,0,14,0,0,3,0,12158.7902491982,0.0263646586238168,0.474563855228702,0.474563855228702,-1.34765338801317,53.9226868902534,-1.45980150747814,53.8357920353621
"910931","E02002331","E02002359",3,0,0,0,0,0,0,3,0,0,0,0,10326.6535049934,0.0380329075699542,0.114098722709863,0.114098722709863,-1.34765338801317,53.9226868902534,-1.36974253555547,53.8308039573781
"910932","E02002331","E02002361",6,0,0,0,0,0,0,6,0,0,0,0,15113.089642037,0.0146020882053253,0.0876125292319517,0.0876125292319517,-1.34765338801317,53.9226868902534,-1.51437147115231,53.8291749543965
"910933","E02002331","E02002362",5,0,0,0,0,0,0,4,0,0,1,0,20241.2345213143,0.00523588335550126,0.0261794167775063,0.0261794167775063,-1.34765338801317,53.9226868902534,-1.61318115092283,53.8306166401771
"910934","E02002331","E02002363",2,0,0,0,0,0,0,2,0,0,0,0,16141.0460097598,0.011888520524252,0.0237770410485039,0.0237770410485039,-1.34765338801317,53.9226868902534,-1.53486896231896,53.8288444260405
"910935","E02002331","E02002364",13,0,0,0,3,0,0,7,0,1,2,0,13226.9342587678,0.0212933671519419,0.276813772975245,-0.723186227024755,-1.34765338801317,53.9226868902534,-1.46642557585055,53.8267392129167
"910936","E02002331","E02002366",2,0,0,0,0,0,0,2,0,0,0,0,14350.5688237771,0.0170077429821687,0.0340154859643374,0.0340154859643374,-1.34765338801317,53.9226868902534,-1.4940384943,53.8270203890282
"910937","E02002331","E02002367",1,0,0,0,0,0,0,1,0,0,0,0,17424.757895733,0.00919657282388526,0.00919657282388526,0.00919657282388526,-1.34765338801317,53.9226868902534,-1.55124709105745,53.8224379020227
"910938","E02002331","E02002368",2,0,0,0,0,0,0,1,0,0,1,0,24749.9459705718,0.00212504564159173,0.00425009128318346,0.00425009128318346,-1.34765338801317,53.9226868902534,-1.68528620566669,53.8243425956107
"910939","E02002331","E02002369",1,0,0,0,1,0,0,0,0,0,0,0,14301.5056498192,0.0171754552566129,0.0171754552566129,0.0171754552566129,-1.34765338801317,53.9226868902534,-1.47926659301547,53.8203553249744
